"Type","UserEmail","AppName","AppID","Scopes","SensitiveAccess","RiskLevel","BroadScope","LastUsed","IsStale","Anonymous","NativeApp"
"OAuth","108265445627704094570","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly","Gmail, Drive/Docs, Calendar, Admin SDK","Critical","True",,"False","False","False"
"OAuth","108265445627704094570","Google Chrome","77185425430.apps.googleusercontent.com","https://www.google.com/accounts/OAuthLogin","","Low","False",,"False","False","False"
"OAuth","108265445627704094570","Create Test Data - GForms","777671318188-4cg53vqc19anouln9o7f2j3gdrunkg68.apps.googleusercontent.com","https://www.googleapis.com/auth/spreadsheets https://www.googleapis.com/auth/forms https://www.googleapis.com/auth/drive","Drive/Docs","Medium","True",,"False","False","False"
"OAuth","115730170040899472480","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly","Gmail, Drive/Docs, Calendar, Admin SDK","Critical","True",,"False","False","False"
"OAuth","100636443903876274243","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly","Gmail, Drive/Docs, Calendar, Admin SDK","Critical","True",,"False","False","False"
"OAuth","100636443903876274243","Google Chrome","77185425430.apps.googleusercontent.com","https://www.google.com/accounts/OAuthLogin","","Low","False",,"False","False","False"
"OAuth","100636443903876274243","Google AppSheet","953348912797-h2fo9tmk42mnrkk0kc6gula9i8ipv3re.apps.googleusercontent.com","https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email https://www.googleapis.com/auth/spreadsheets openid https://www.googleapis.com/auth/drive https://spreadsheets.google.com/feeds","Drive/Docs","High","True",,"False","False","False"
"OAuth","100536734976428005751","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly","Gmail, Drive/Docs, Calendar, Admin SDK","Critical","True",,"False","False","False"
"OAuth","107346519746142971792","Google AppSheet","953348912797-h2fo9tmk42mnrkk0kc6gula9i8ipv3re.apps.googleusercontent.com","https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/drive https://spreadsheets.google.com/feeds","Drive/Docs","High","True",,"False","False","False"
"OAuth","111754147476642333529","Acme Classic Site Builder","121404904689-7m2ftmmpbslfk1m925l4o60n5p9hbn1q.apps.googleusercontent.com","https://www.googleapis.com/auth/documents https://www.googleapis.com/auth/spreadsheets https://www.googleapis.com/auth/forms https://www.googleapis.com/auth/presentations https://www.googleapis.com/auth/drive","Drive/Docs","Medium","True",,"False","False","False"
"OAuth","111754147476642333529","GAM Project Creation","297408095146-fug707qsjv4ikron0hugpevbrjhkmsk7.apps.googleusercontent.com","https://www.googleapis.com/auth/cloud-platform","Cloud Platform","Critical","True",,"False","False","False"
"OAuth","111754147476642333529","Google Cloud SDK","32555940559.apps.googleusercontent.com","https://www.googleapis.com/auth/accounts.reauth https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/appengine.admin https://www.googleapis.com/auth/sqlservice.login https://www.googleapis.com/auth/compute https://www.googleapis.com/auth/cloud-platform","Admin SDK, Cloud Platform","Critical","True",,"False","False","False"
"OAuth","111754147476642333529","Acme Drive Assets Creator","542426089046-blci4uk9kiv9jhd6d6hs4d4c43tkksnj.apps.googleusercontent.com","https://www.googleapis.com/auth/documents https://www.googleapis.com/auth/spreadsheets https://www.googleapis.com/auth/forms https://www.googleapis.com/auth/presentations https://www.googleapis.com/auth/drive","Drive/Docs","Medium","True",,"False","False","False"
"OAuth","111754147476642333529","GAM_Gsites","576746524153-epvg13khpgodr9cfas6h0gl79crue8e3.apps.googleusercontent.com","https://www.googleapis.com/auth/classroom.topics https://www.googleapis.com/auth/admin.directory.orgunit https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/classroom.courseworkmaterials https://www.googleapis.com/auth/admin.directory.userschema https://www.googleapis.com/auth/admin.directory.device.chromeos https://www.googleapis.com/auth/admin.contact.delegation https://www.googleapis.com/auth/admin.directory.device.chromebrowsers https://www.googleapis.com/auth/chrome.management.telemetry.readonly https://www.googleapis.com/auth/cloud-identity.groups https://www.googleapis.com/auth/classroom.coursework.students https://www.googleapis.com/auth/contacts https://www.google.com/m8/feeds https://www.googleapis.com/auth/admin.directory.device.mobile https://www.googleapis.com/auth/admin.chrome.printers https://www.googleapis.com/auth/userinfo.email https://www.googleapis.com/auth/chrome.management.appdetails.readonly https://www.googleapis.com/auth/apps.groups.migration https://www.googleapis.com/auth/classroom.announcements https://www.googleapis.com/auth/cloud-identity.userinvitations https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/admin.directory.user.security https://www.googleapis.com/auth/admin.reports.audit.readonly https://www.googleapis.com/auth/admin.directory.user https://www.googleapis.com/auth/admin.directory.group https://www.googleapis.com/auth/chrome.management.reports.readonly https://www.googleapis.com/auth/apps.licensing https://www.googleapis.com/auth/classroom.courses https://www.googleapis.com/auth/chrome.management.profiles openid https://www.googleapis.com/auth/admin.directory.domain https://www.googleapis.com/auth/chrome.management.policy https://www.googleapis.com/auth/cloud-identity.policies.readonly https://www.googleapis.com/auth/directory.readonly https://www.googleapis.com/auth/admin.directory.rolemanagement https://www.googleapis.com/auth/admin.directory.resource.calendar https://www.googleapis.com/auth/classroom.rosters https://www.googleapis.com/auth/cloud-identity.inboundsso https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/classroom.profile.emails https://www.googleapis.com/auth/classroom.guardianlinks.students https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/classroom.profile.photos https://www.googleapis.com/auth/admin.datatransfer https://www.googleapis.com/auth/admin.directory.customer https://www.googleapis.com/auth/admin.reports.usage.readonly https://www.googleapis.com/auth/cloud-identity.orgunits","Calendar, Contacts, Admin SDK","Critical","True",,"False","False","False"
"OAuth","111754147476642333529","Google Chrome","77185425430.apps.googleusercontent.com","https://www.google.com/accounts/OAuthLogin","","Low","False",,"False","False","False"
"OAuth","109950070003978123614","Google APIs Explorer","292824132082.apps.googleusercontent.com","openid https://www.googleapis.com/auth/tasks.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly","Drive/Docs, Admin SDK","Critical","True",,"False","False","False"
"OAuth","109950070003978123614","CustomMigration","493179929918-kusnvhjb32he5fjpl091ir7ietalkkpj.apps.googleusercontent.com","https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly","Gmail, Drive/Docs, Calendar, Admin SDK","Critical","True",,"False","False","False"
"OAuth","109209476392707444336","Google Chrome","77185425430.apps.googleusercontent.com","https://www.google.com/accounts/OAuthLogin","","Low","False",,"False","False","False"
"OAuth","107419731724068942042","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly","Gmail, Drive/Docs, Calendar, Admin SDK","Critical","True",,"False","False","False"
"OAuth","101512371671374858313","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly","Gmail, Drive/Docs, Calendar, Admin SDK","Critical","True",,"False","False","False"
"OAuth","101512371671374858313","Google AppSheet","953348912797-h2fo9tmk42mnrkk0kc6gula9i8ipv3re.apps.googleusercontent.com","https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/drive https://spreadsheets.google.com/feeds","Drive/Docs","High","True",,"False","False","False"
"OAuth","104929717728590833155","Custom-migration","2205574293-c6ho9alop99uoff5tkmr4qf0pe37057o.apps.googleusercontent.com","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/chat.messages.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/chat.spaces.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/chat.admin.spaces.readonly https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/admin.reports.audit.readonly https://www.googleapis.com/auth/admin.directory.user.security https://www.googleapis.com/auth/admin.directory.user.readonly https://www.googleapis.com/auth/chat.memberships.readonly","Gmail, Drive/Docs, Calendar, Admin SDK","Critical","True",,"False","False","False"
"OAuth","104929717728590833155","Google APIs Explorer","292824132082.apps.googleusercontent.com","openid https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/admin.reports.audit.readonly https://www.googleapis.com/auth/admin.directory.user.security https://www.googleapis.com/auth/admin.directory.user.readonly","Admin SDK","Critical","True",,"False","False","False"
"OAuth","104929717728590833155","Absolute Poll","687007803052-paracp6ul7cqcaqs33frnmjkjjn5hick.apps.googleusercontent.com","https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid","","Low","False",,"False","False","False"
"OAuth","116289639507916727347","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly","Gmail, Drive/Docs, Calendar, Admin SDK","Critical","True",,"False","False","False"
"OAuth","116289639507916727347","Google Chrome","77185425430.apps.googleusercontent.com","https://www.google.com/accounts/OAuthLogin","","Low","False",,"False","False","False"
"OAuth","107781207780955015841","Google APIs Explorer","292824132082.apps.googleusercontent.com","openid https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/drive","Drive/Docs","Medium","True",,"False","False","False"
"OAuth","107781207780955015841","Google Chrome","77185425430.apps.googleusercontent.com","https://www.google.com/accounts/OAuthLogin","","Low","False",,"False","False","False"
"OAuth","100598387233377144480","Gvault-assessment","225588255228-lce3aal6vors9pq0j5rag55ju4it0i72.apps.googleusercontent.com","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/admin.directory.resource.calendar.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly","Gmail, Drive/Docs, Calendar, Admin SDK","Critical","True",,"False","False","False"
"OAuth","112201421903815780492","Google APIs Explorer","292824132082.apps.googleusercontent.com","openid https://www.googleapis.com/auth/admin.directory.user.readonly","Admin SDK","Critical","True",,"False","False","False"
"OAuth","112201421903815780492","GAM Project Creation","297408095146-fug707qsjv4ikron0hugpevbrjhkmsk7.apps.googleusercontent.com","https://www.googleapis.com/auth/cloud-platform","Cloud Platform","Critical","True",,"False","False","False"
"OAuth","112201421903815780492","AI Translator","532416581139-bcuroll4sjfq7hnj5smqqfapspgkur44.apps.googleusercontent.com","https://www.googleapis.com/auth/script.external_request https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/chat.messages.create","","Low","False",,"False","False","False"
"OAuth","112201421903815780492","AI Translator","532416581139-nqgg6grfi67k6oioinprk4m1afi8dkb4.apps.googleusercontent.com","https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/chat.messages.create","","Low","False",,"False","False","False"
"OAuth","112201421903815780492","Google Chrome","77185425430.apps.googleusercontent.com","https://www.google.com/accounts/OAuthLogin","","Low","False",,"False","False","False"
"OAuth","112201421903815780492","SpaceApp_Roche","811775695670-hlqv796tmr8ra4l95t9ig1t2rqna4g0g.apps.googleusercontent.com","https://www.googleapis.com/auth/classroom.topics https://www.googleapis.com/auth/admin.directory.orgunit https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/classroom.courseworkmaterials https://www.googleapis.com/auth/admin.directory.userschema https://www.googleapis.com/auth/admin.directory.device.chromeos https://www.googleapis.com/auth/admin.contact.delegation https://www.googleapis.com/auth/admin.directory.device.chromebrowsers https://www.googleapis.com/auth/chrome.management.telemetry.readonly https://www.googleapis.com/auth/cloud-identity.groups https://www.googleapis.com/auth/classroom.coursework.students https://www.googleapis.com/auth/contacts https://www.google.com/m8/feeds https://www.googleapis.com/auth/admin.directory.device.mobile https://www.googleapis.com/auth/admin.chrome.printers https://www.googleapis.com/auth/userinfo.email https://www.googleapis.com/auth/chrome.management.appdetails.readonly https://www.googleapis.com/auth/apps.groups.migration https://www.googleapis.com/auth/classroom.announcements https://www.googleapis.com/auth/cloud-identity.userinvitations https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/admin.directory.user.security https://www.googleapis.com/auth/admin.reports.audit.readonly https://www.googleapis.com/auth/admin.directory.user https://www.googleapis.com/auth/admin.directory.group https://www.googleapis.com/auth/chrome.management.reports.readonly https://www.googleapis.com/auth/apps.licensing https://www.googleapis.com/auth/classroom.courses https://www.googleapis.com/auth/chrome.management.profiles openid https://www.googleapis.com/auth/admin.directory.domain https://www.googleapis.com/auth/chrome.management.policy https://www.googleapis.com/auth/cloud-identity.policies.readonly https://www.googleapis.com/auth/directory.readonly https://www.googleapis.com/auth/admin.directory.rolemanagement https://www.googleapis.com/auth/admin.directory.resource.calendar https://www.googleapis.com/auth/classroom.rosters https://www.googleapis.com/auth/cloud-identity.inboundsso https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/classroom.profile.emails https://www.googleapis.com/auth/classroom.guardianlinks.students https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/classroom.profile.photos https://www.googleapis.com/auth/admin.datatransfer https://www.googleapis.com/auth/admin.directory.customer https://www.googleapis.com/auth/admin.reports.usage.readonly https://www.googleapis.com/auth/cloud-identity.orgunits","Calendar, Contacts, Admin SDK","Critical","True",,"False","False","False"
"OAuth","112201421903815780492","Zoom","846561030874-1bjnacdps08t558f7gcgp8mqi33297h1.apps.googleusercontent.com","https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid","","Low","False",,"False","False","False"
