"AppType","AppName","AppID","UserEmail","RiskLevel","Flags","SensitiveAccess","LastUsed","IsStale","Scopes"
"OAuth","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","116289639507916727347","Critical","Risky Scopes | Sensitive: Gmail, Drive/Docs, Calendar, Admin SDK","Gmail, Drive/Docs, Calendar, Admin SDK",,"False","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly"
"OAuth","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","100536734976428005751","Critical","Risky Scopes | Sensitive: Gmail, Drive/Docs, Calendar, Admin SDK","Gmail, Drive/Docs, Calendar, Admin SDK",,"False","https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly"
"OAuth","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","101512371671374858313","Critical","Risky Scopes | Sensitive: Gmail, Drive/Docs, Calendar, Admin SDK","Gmail, Drive/Docs, Calendar, Admin SDK",,"False","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly"
"OAuth","CustomMigration","493179929918-kusnvhjb32he5fjpl091ir7ietalkkpj.apps.googleusercontent.com","109950070003978123614","Critical","Risky Scopes | Sensitive: Gmail, Drive/Docs, Calendar, Admin SDK","Gmail, Drive/Docs, Calendar, Admin SDK",,"False","https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly"
"OAuth","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","107419731724068942042","Critical","Risky Scopes | Sensitive: Gmail, Drive/Docs, Calendar, Admin SDK","Gmail, Drive/Docs, Calendar, Admin SDK",,"False","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly"
"OAuth","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","115730170040899472480","Critical","Risky Scopes | Sensitive: Gmail, Drive/Docs, Calendar, Admin SDK","Gmail, Drive/Docs, Calendar, Admin SDK",,"False","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly"
"OAuth","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","100636443903876274243","Critical","Risky Scopes | Sensitive: Gmail, Drive/Docs, Calendar, Admin SDK","Gmail, Drive/Docs, Calendar, Admin SDK",,"False","https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly"
"OAuth","CustomMigration","630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com","108265445627704094570","Critical","Risky Scopes | Sensitive: Gmail, Drive/Docs, Calendar, Admin SDK","Gmail, Drive/Docs, Calendar, Admin SDK",,"False","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly"
"OAuth","Custom-migration","2205574293-c6ho9alop99uoff5tkmr4qf0pe37057o.apps.googleusercontent.com","104929717728590833155","Critical","Risky Scopes | Sensitive: Gmail, Drive/Docs, Calendar, Admin SDK","Gmail, Drive/Docs, Calendar, Admin SDK",,"False","https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/chat.messages.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/chat.spaces.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/chat.admin.spaces.readonly https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/admin.reports.audit.readonly https://www.googleapis.com/auth/admin.directory.user.security https://www.googleapis.com/auth/admin.directory.user.readonly https://www.googleapis.com/auth/chat.memberships.readonly"
"OAuth","GAM Project Creation","297408095146-fug707qsjv4ikron0hugpevbrjhkmsk7.apps.googleusercontent.com","112201421903815780492","Critical","Risky Scopes | Sensitive: Cloud Platform","Cloud Platform",,"False","https://www.googleapis.com/auth/cloud-platform"
