clientId,displayText,anonymous,nativeApp,users,scopes
532416581139-bcuroll4sjfq7hnj5smqqfapspgkur44.apps.googleusercontent.com,AI Translator,False,False,1,https://www.googleapis.com/auth/script.external_request https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/chat.messages.create
532416581139-nqgg6grfi67k6oioinprk4m1afi8dkb4.apps.googleusercontent.com,AI Translator,False,False,1,https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/chat.messages.create
687007803052-paracp6ul7cqcaqs33frnmjkjjn5hick.apps.googleusercontent.com,Absolute Poll,False,False,1,https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid
121404904689-7m2ftmmpbslfk1m925l4o60n5p9hbn1q.apps.googleusercontent.com,Acme Classic Site Builder,False,False,1,https://www.googleapis.com/auth/documents https://www.googleapis.com/auth/spreadsheets https://www.googleapis.com/auth/forms https://www.googleapis.com/auth/presentations https://www.googleapis.com/auth/drive
542426089046-blci4uk9kiv9jhd6d6hs4d4c43tkksnj.apps.googleusercontent.com,Acme Drive Assets Creator,False,False,1,https://www.googleapis.com/auth/documents https://www.googleapis.com/auth/spreadsheets https://www.googleapis.com/auth/forms https://www.googleapis.com/auth/presentations https://www.googleapis.com/auth/drive
777671318188-4cg53vqc19anouln9o7f2j3gdrunkg68.apps.googleusercontent.com,Create Test Data - GForms,False,False,1,https://www.googleapis.com/auth/spreadsheets https://www.googleapis.com/auth/forms https://www.googleapis.com/auth/drive
2205574293-c6ho9alop99uoff5tkmr4qf0pe37057o.apps.googleusercontent.com,Custom-migration,False,False,1,https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/chat.messages.readonly https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/chat.spaces.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/chat.admin.spaces.readonly https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/admin.reports.audit.readonly https://www.googleapis.com/auth/admin.directory.user.security https://www.googleapis.com/auth/admin.directory.user.readonly https://www.googleapis.com/auth/chat.memberships.readonly
493179929918-kusnvhjb32he5fjpl091ir7ietalkkpj.apps.googleusercontent.com,CustomMigration,False,False,1,https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly
630157742401-7eibo54f36ivjf27rf427k84vajjhsn6.apps.googleusercontent.com,CustomMigration,False,False,7,https://www.googleapis.com/auth/ediscovery.readonly https://www.googleapis.com/auth/gmail.readonly https://www.googleapis.com/auth/apps.groups.settings https://www.googleapis.com/auth/admin.directory.group.readonly https://www.googleapis.com/auth/drive.activity.readonly https://www.googleapis.com/auth/calendar https://www.googleapis.com/auth/ediscovery https://www.googleapis.com/auth/drive.metadata.readonly https://www.googleapis.com/auth/calendar.readonly https://www.googleapis.com/auth/drive.readonly https://www.googleapis.com/auth/admin.directory.user.readonly
297408095146-fug707qsjv4ikron0hugpevbrjhkmsk7.apps.googleusercontent.com,GAM Project Creation,False,False,2,https://www.googleapis.com/auth/cloud-platform
